Index,Time,Wind,Competitor,DOB,Country,Venue,Date
1,235.80,,Abel KIVIAT,23/06/1892,USA,"Cambridge, MA (USA)",06/08/1912
2,234.70,,John ZANDER,31/01/1890,SWE,Stockholm (SWE),05/08/1917
3,232.60,,Paavo NURMI,13/06/1897,FIN,Helsinki (FIN),19/06/1924
4,231.00,,Otto PELTZER,08/03/1900,GER,Berlin (GER),11/09/1926
5,229.20,,Jules LADOUMÈGUE,10/12/1906,FRA,Paris (FRA),05/10/1930
6,229.20,,Luigi BECCALI,19/11/1907,ITA,Torino (ITA),09/09/1933
7,229.00,,Luigi BECCALI,19/11/1907,ITA,Milano (ITA),17/09/1933
8,228.80,,Bill BONTHRON,01/11/1912,USA,"Milwaukee, WI (USA)",30/06/1934
9,227.80,,Jack LOVELOCK,05/01/1910,NZL,Berlin (GER),06/08/1936
10,227.60,,Gunder HÄGG,31/12/1918,SWE,Stockholm (SWE),10/08/1941
11,225.80,,Gunder HÄGG,31/12/1918,SWE,Stockholm (SWE),17/07/1942
12,225.00,,Arne ANDERSSON,27/10/1917,SWE,Göteborg (SWE),17/08/1943
13,223.00,,Gunder HÄGG,31/12/1918,SWE,Göteborg (SWE),07/07/1944
14,223.00,,Lennart STRAND,13/06/1921,SWE,Malmö (SWE),15/07/1947
15,223.00,,Werner LUEG,16/09/1931,GER,Berlin (GER),29/06/1952
16,222.80,,Wes SANTEE,25/03/1932,USA,"Compton, CA (USA)",04/06/1954
17,221.80,,John LANDY,04/04/1930,AUS,Turku (FIN),21/06/1954
18,220.80,,Sándor IHAROS,20/03/1930,HUN,Helsinki (FIN),28/07/1955
19,220.80,,László TÁBORI,06/07/1931,HUN,Oslo (NOR),06/09/1955
20,220.80,,Gunnar NIELSEN,25/03/1928,DEN,Oslo (NOR),06/09/1955
21,220.60,,István RÓZSAVÖLGYI,30/03/1929,HUN,Tata (HUN),03/08/1956
22,220.20,,Olavi SALSOLA,26/12/1933,FIN,Turku (FIN),11/07/1957
23,220.20,,Olavi SALONEN,20/12/1933,FIN,Turku (FIN),11/07/1957
24,218.10,,Stanislav JUNGWIRTH,15/08/1930,TCH,Stará Boleslav (TCH),12/07/1957
25,216.00,,Herb ELLIOTT,25/02/1938,AUS,Göteborg (SWE),28/08/1958
26,215.60,,Herb ELLIOTT,25/02/1938,AUS,Roma (Stadio Olimpico),06/09/1960
27,213.10,,Jim RYUN,29/04/1947,USA,"Los Angeles, CA (USA)",08/07/1967
28,212.20,,Filbert BAYI,23/06/1953,TAN,Christchurch (NZL),02/02/1974
29,212.10,,Sebastian COE,29/09/1956,GBR,Zürich (SUI),15/08/1979
30,212.10,,Steve OVETT,09/10/1955,GBR,Oslo (NOR),15/07/1980
31,211.36,,Steve OVETT,09/10/1955,GBR,Koblenz (GER),27/08/1980
32,211.24,,Sydney MAREE,09/09/1956,USA,Köln (GER),28/08/1983
33,210.77,,Steve OVETT,09/10/1955,GBR,Rieti (ITA),04/09/1983
34,209.67,,Steve CRAM,14/10/1960,GBR,Nice (FRA),16/07/1985
35,209.46,,Saïd AOUITA,02/11/1959,MAR,Berlin (GER),23/08/1985
36,208.86,,Noureddine MORCELI,28/02/1970,ALG,Rieti (ITA),06/09/1992
37,207.37,,Noureddine MORCELI,28/02/1970,ALG,Nice (FRA),12/07/1995
38,206.00,,Hicham EL GUERROUJ,14/09/1974,MAR,Roma (Stadio Olimpico),14/07/1998
