Index,Time,Wind,Competitor,DOB,Country,Venue,Date
1,57.00,,Marlene MATHEWS,14/07/1934,AUS,Sydney (AUS),06/01/1957
2,57.00,,Marise CHAMBERLAIN,05/12/1935,NZL,Christchurch (NZL),16/02/1957
3,56.30,,Nancy BOYLE,03/02/1932,AUS,Sydney (AUS),24/02/1957
4,55.20,,Polina LAZAREVA,05/05/1930,URS,Moskva (URS),10/05/1957
5,54.00,,Mariya ITKINA,03/02/1932,URS,Minsk (URS),08/06/1957
6,53.60,,Mariya ITKINA,03/02/1932,URS,Moskva (URS),06/07/1957
7,53.40,,Mariya ITKINA,03/02/1932,URS,Krasnodar (URS),12/09/1959
8,53.40,,Mariya ITKINA,03/02/1932,URS,Beograd (SRB),14/09/1962
9,51.90,,Geum-Dan SHIN,03/07/1938,PRK,Pyongyang (PRK),23/10/1962
10,52.03,,Colette BESSON,07/04/1946,FRA,Ciudad de México (MEX),16/10/1968
11,51.70,,Nicole DUCLOS,15/08/1947,FRA,Athina (GRE),18/09/1969
12,51.70,,Colette BESSON,07/04/1946,FRA,Athina (GRE),18/09/1969
13,51.00,,Marilyn NEUFVILLE,16/11/1952,JAM,Edinburgh (GBR),23/07/1970
14,51.00,,Monika ZEHRT,29/09/1952,GDR,Colombes (FRA),04/07/1972
15,51.08,,Monika ZEHRT,29/09/1952,GDR,München (GER),07/09/1972
16,49.90,,Irena SZEWI?SKA,24/05/1946,POL,Warszawa (POL),22/06/1974
17,50.14,,Riitta SALIN,16/10/1950,FIN,Roma (ITA),04/09/1974
18,49.77,,Christina BREHMER,28/02/1958,GDR,Dresden (GER),09/05/1976
19,49.75,,Irena SZEWI?SKA,24/05/1946,POL,Bydgoszcz (POL),22/06/1976
20,49.29,,Irena SZEWI?SKA,24/05/1946,POL,Montréal (Olympic Stadium),29/07/1976
21,49.19,,Marita KOCH,18/02/1957,GDR,Leipzig (GER),02/07/1978
22,49.03,,Marita KOCH,18/02/1957,GDR,Potsdam (GDR),19/08/1978
23,48.94,,Marita KOCH,18/02/1957,GDR,Praha (TCH),31/08/1978
24,48.89,,Marita KOCH,18/02/1957,GDR,Potsdam (GDR),29/07/1979
25,48.60,,Marita KOCH,18/02/1957,GDR,Torino (ITA),04/08/1979
26,48.16,,Marita KOCH,18/02/1957,GDR,Athina (GRE),08/09/1982
27,47.99,,Jarmila KRATOCHVÍLOVÁ,26/01/1951,TCH,Helsinki (Olympic Stadium),10/08/1983
28,47.60,,Marita KOCH,18/02/1957,GDR,Canberra (Bruce Stadium),06/10/1985
